Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
11/12/2019,91,PM2.5,Donovan,06-073-1014,AQS,11,48,.,.,91,44
11/13/2019,103,PM2.5,Pala Airpad,06-073-1201,AQS,10,64,.,.,103,52
11/14/2019,102,PM2.5,Pala Airpad,06-073-1201,AQS,10,48,0,54,102,31
11/15/2019,85,PM2.5,Pala Airpad,06-073-1201,AQS,13,42,0,.,85,24
11/16/2019,72,PM2.5,Donovan,06-073-1014,AQS,14,46,0,.,72,38
11/17/2019,70,PM2.5,Pala Airpad,06-073-1201,AQS,16,44,0,19,70,34
11/18/2019,60,PM2.5,Pala Airpad,06-073-1201,AQS,16,45,0,.,60,44
11/19/2019,57,PM2.5,Donovan,06-073-1014,AQS,9,40,0,.,57,41
11/20/2019,58,PM2.5,Pala Airpad,06-073-1201,AQS,5,39,0,10,58,28
11/21/2019,41,NO2,Chula Vista,06-073-0001,AQS,13,37,0,.,40,41
11/22/2019,50,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,13,43,0,.,50,31
11/23/2019,57,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,17,44,0,18,57,37
11/24/2019,56,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,17,47,0,.,56,34
11/25/2019,56,PM2.5,Donovan,06-073-1014,AQS,15,48,0,.,56,37
11/26/2019,62,PM2.5,Pala Airpad,06-073-1201,AQS,18,41,0,32,62,43
11/27/2019,71,PM2.5,Pala Airpad,06-073-1201,AQS,28,42,.,.,71,32
11/28/2019,54,PM2.5,Pala Airpad,06-073-1201,AQS,10,42,0,.,54,23
11/29/2019,39,Ozone,Chula Vista,06-073-0001,AQS,8,39,0,7,25,24
11/30/2019,53,PM2.5,San Diego - Sherman Elementary School,06-073-1026,AQS,9,36,0,.,53,32
12/01/2019,51,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,11,38,0,.,51,30
12/02/2019,55,PM2.5,El Cajon - Lexington Elementary School,06-073-1022,AQS,14,31,0,21,55,36
12/03/2019,85,NO2,Donovan,06-073-1014,AQS,14,30,0,.,70,85
12/04/2019,52,PM2.5,Pala Airpad,06-073-1201,AQS,9,33,.,.,52,24
