Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
10/4/2018,42,PM2.5,Pala Airpad,06-073-1201,AQS,5,31,0,.,42,16
10/5/2018,38,Ozone,Alpine,06-073-1006,AQS,6,38,0,10,20,18
10/6/2018,54,PM2.5,Donovan,06-073-1014,AQS,6,39,0,.,54,16
10/7/2018,43,PM2.5,Pala Airpad,06-073-1201,AQS,6,43,0,.,43,17
10/8/2018,55,PM2.5,Donovan,06-073-1014,AQS,6,48,0,21,55,23
10/9/2018,56,PM2.5,Pala Airpad,06-073-1201,AQS,6,44,0,19,56,19
10/10/2018,54,PM2.5,Pala Airpad,06-073-1201,AQS,6,44,0,.,54,20
10/11/2018,48,PM2.5,Pala Airpad,06-073-1201,AQS,7,41,0,26,48,25
10/12/2018,42,PM2.5,Pala Airpad,06-073-1201,AQS,7,42,0,.,42,26
10/13/2018,49,PM2.5,Pala Airpad,06-073-1201,AQS,7,33,0,.,49,19
10/14/2018,42,Ozone,El Cajon - Lexington Elementary School,06-073-1022,AQS,7,42,0,11,30,22
10/15/2018,46,Ozone,Donovan,06-073-1014,AQS,8,46,0,.,44,27
10/16/2018,46,Ozone,Alpine,06-073-1006,AQS,10,46,0,.,43,45
10/17/2018,48,Ozone,Camp Pendleton,06-073-1008,AQS,10,48,3,34,42,43
10/18/2018,47,Ozone,Kearny Villa Rd.,06-073-1016,AQS,10,47,0,.,41,43
10/19/2018,47,Ozone,Alpine,06-073-1006,AQS,11,47,0,.,41,45
10/20/2018,61,Ozone,Donovan,06-073-1014,AQS,11,61,0,16,45,40
10/21/2018,87,Ozone,Alpine,06-073-1006,AQS,8,87,0,.,55,28
10/22/2018,53,PM2.5,Donovan,06-073-1014,AQS,6,47,0,.,53,22
10/23/2018,62,PM2.5,Pala Airpad,06-073-1201,AQS,6,61,0,33,62,23
10/24/2018,80,Ozone,Alpine,06-073-1006,AQS,7,80,0,.,77,25
10/25/2018,84,Ozone,Alpine,06-073-1006,AQS,8,84,0,.,73,28
10/26/2018,84,Ozone,Alpine,06-073-1006,AQS,11,84,0,30,71,41
10/27/2018,101,Ozone,Alpine,06-073-1006,AQS,13,101,0,.,81,27
10/28/2018,105,Ozone,Alpine,06-073-1006,AQS,10,105,0,.,68,22
10/29/2018,79,PM2.5,Donovan,06-073-1014,AQS,8,74,0,41,79,39
10/30/2018,72,PM2.5,Pala Airpad,06-073-1201,AQS,6,45,0,.,72,25
10/31/2018,69,PM2.5,Pala Airpad,06-073-1201,AQS,7,54,0,.,69,36
11/1/2018,61,PM2.5,Donovan,06-073-1014,AQS,10,51,0,.,61,36
11/2/2018,58,Ozone,Camp Pendleton,06-073-1008,AQS,10,58,0,.,56,35
11/3/2018,77,Ozone,Alpine,06-073-1006,AQS,10,77,0,24,57,35
11/4/2018,67,PM2.5,Donovan,06-073-1014,AQS,10,67,0,33,67,27
11/5/2018,70,PM2.5,Donovan,06-073-1014,AQS,10,58,0,.,70,32
11/6/2018,60,PM2.5,Pala Airpad,06-073-1201,AQS,6,44,0,.,60,21
